SKU,Name,Brand,CPUSPEED,Model,FullCPUDescription,RAM,DRIVE,Colour,Touch,Resolution,Screen Size (Laptop Only),Chipset/GPU Model,Series
1550,Cisco WS-C2960X-24TD-L V06 Lan Base Switch | 24 Port Gigabit | 2xSFP+ 10Gbps,Cisco,0,WS-C2960X-24TD-L,,0,0,,n,,0,,
1551,"Generic Server | Gigabyte MD71-HB0, 2x Xeon Silver 4216 16C 128GB RAM 12x 6Tb HDD, 2x 256GB M.2 ",Gigabyte,2.1,MD71-HB0,"Intel Xeon Silver 4216 @ 2.1GHz, 16 Core/ 32 Thread, 3.2GHz boost",128,6000,,n,,0,,
1552,Cisco Nexus N5K-C5596UP 2U Rack Mountable Switch 48 Port 10Gbps L3 Module SFP+,Cisco,0,N5K-C5596UP,,0,0,,n,,0,,
1553,Cisco FET-10G 10-2566-02 Multi-Mode Fibre Fabric Extender SFP+ LOT OF 7,Cisco,0,FET-10G 10-2566-02,,0,0,,n,,0,,
1554,"HP Z820 Workstation 2x Intel Xeon E5-2680 8 Core 256GB RAM 512GB SSD, 2x6TB HDD",HP,2.7,Z820,Intel Xeon E5-2680 2.7GHz (3.6GHz Boost) 8 Core/16 Thread,256,512,,n,,0,NVidia Quadro P2000,
1555,Juniper Networks 320W AC PSU | EX-PWR-320-AC | EX 4200 and EX 3200,Juniper,0,EX-PWR-320-AC,,0,0,,n,,0,,
1556,Hitachi CP-TW3506 3LCD Ultra Short Throw Projector,Hitachi,0,CP-TW3506,,0,0,,n,,0,,
1558,Panasonic Lamp ET-LAE300 | New in box,Panasonic,0,ET-LAE300,,0,0,,n,,0,,
1559,Lenovo ThinkPad P50 Mobile Workstation Laptop | Intel Xeon E3-1505M v5 2.8GHz | Nvidia M2000M 4GB | W10 | 16GB RAM | 256GB SSD | 500GB HDD | Dock | B,Lenovo,2.8,ThinkPad P50,Intel Xeon E3-1505M v5 Quad Core 2.8GHz,16,256,Black,n,1920 x 1080,15,Quadro M2000M,
1560,Cisco Catalyst WS-C2960C-8PC-L Compact Switch | PoE | 8 Port | SFP,Cisco,0,WS-C2960C-8PC-L,,0,0,,n,,0,,
1561,"Cisco Catalyst 2690-X Series Switch WS-C2960X-48FPS-L, 48 Port Gigabit PoE+ 740W",Cisco,0,WS-C2960X-48FPS-L,,0,0,,n,,0,,
1562,Cisco Catalyst Switch WS-C2960X-48TS-L | 48 Port Gigabit | 4 SFP | Lan Base,Cisco,0,WS-C2960X-48TS-L,,0,0,,n,,0,,
1563,Cisco Catalyst Switch WS-C2960X-48FPD | 48 Port Gigabit | POE | 2 Port SFP+,Cisco,0,WS-C2960X-48FPD-L,,0,0,,n,,0,,
1564,Cisco Catalyst Switch WS-C2960X-48FPD | 48 Port Gigabit | POE | 4 Port SFP+,Cisco,0,WS-C2960X-48FPD-L,,0,0,,n,,0,,
1569,Dell R730 2x Intel Xeon E5-2690v4 14C 576Gb RAM 2x 800GB SSD 2x Nvidia M10 10GbE,Dell EMC,2.6,PowerEdge R730,"Intel Xeon E5-2690v4 @2.6GHz 14 Core/ 28 Threads, 3.5GHz",576,800,,n,,0,Nvidia Tesla M10 GPU Acelerator,
1660,NVIDIA GeForce GTX 1660 Super OC 6G Gigabyte 6GB Graphics Video Card - Used,Gigabyte,1.83,GTX 1660 Super,NA,6,0,,n,,0,,NVIDIA
1669,HP Proliant DL360 GEN9 Intel Xeon E5-2630v3 8C 256Gb RAM 2x 600HDD,HP,2.4,DL360 GEN9,"Intel Xeon E5-2650 v3 2.3GHz 10 Core/ 20 Threads, 3.0GHz Boost",256,600,,n,,0,,
1680,TV One C2-6204 3G-SDI CORIOview 3g SDi Multiviewer Processor - New In Box,TV One,0,C2-6204,,0,0,,n,,0,,
1681,TV One C2-6204 3G-SDI CORIOview 3g SDi Multiviewer Processor,TV One,0,C2-6204,,0,0,,n,,0,,
1683,HP EliteBook X360 830 G7 Touch Laptop | i7 10610U | 16GB RAM | 256GB SSD | Win 11,HP,1.8,EliteBook X360 830 G7,"Gen i7-10610U Quad core, 1.8GHz base with 4.9GHz boost",16,256,Silver,y,1920 x 1080,13,,
1686,Microsoft Surface Pro 7+ | Intel i7-1165G7 2.8GHz | Win 11 | 16GB RAM | 1TB SSD | New in Box,Microsoft,2.8,Microsoft Surface Pro 7+,Intel i7-1165G7 2.8GHz Quad Core (11th Gen),16,1000,Silver,y,2736 x 1824,0,,
1687,"Dell Latitude 5490 Touch Laptop 14"" | Intel i5 8250U | 8GB RAM | 256GB SSD | Win 11",Dell,1.6,Latitude 5490,Intel i5 8250U Quad Core 1.6GHz (3.4GHz Turbo) 8th Gen,8,256,Black,y,1920 x 1080,14,,
1688,"Dell Latitude 5490 Touch Laptop 14"" | Intel i5 8250U | 8GB RAM | 256GB SSD | Win 11 | B Grade",Dell,1.6,Latitude 5490,Intel i5 8250U Quad Core 1.6GHz (3.4GHz Turbo) 8th Gen,8,256,Black,y,1920 x 1080,14,,
1689,Logitech K750R Wireless Solar Keyboard | Ultra Slim | Recharging | USB Unifying Receiver | PN: 920-004631 | New in Box,Logitech,0,K750R,,0,0,,n,,0,,
1691,4x Logitech K750R Wireless Solar Keyboard | Ultra Slim | Recharging | USB Unifying Receiver | PN: 920-004631 | New in Box,Logitech,0,Logitech K750R,,0,0,,n,,0,,
1692,Cisco GLC-T Compatible 1000BASE-T SFP Copper RJ-45 100m Transceiver Module LOT OF 10,Cisco,0,Cisco GLC-T,,0,0,,n,,0,,
1693,Cisco GLC-SX-MMD 1000BASE-SX short wavelength | Transceiver Module | LOT OF 8,Cisco,0,Cisco GLC-SX-MMD 1000BASE-SX,,0,0,,n,,0,,
1694,Aruba HP AP-535-RW WAP Unified Wireless Access Point | APIN0535 | JZ336A | Wi-Fi 6,Aruba,0,AP-535-RW,,0,0,,n,,0,,
1695,"Cisco Catalyst 2690-X Series Switch WS-C2960X-24PD-L, 24 Port Gigabit PoE+ 370W",Cisco,0,Cisco Catalyst 2960X-24PD-L,,0,0,,n,,0,,
1697,Cisco SFP-10G-SR | 10GBASE-SR SFP+ Module for MMF | LOT OF 10,Cisco,0,Cisco SFP-10G-SR,,0,0,,n,,0,,
1698,Cisco ME 3600X-24FS Ethernet Access Switch | Dual PWR-ME3KX-AC | 24x SFP,Cisco,0,ME-3600X-24FS-M,,0,0,,n,,0,,
1700,"HP ProLiant DL320e Gen8 | Intel Xeon E3- 1240v2 @3.4GHz, 32GB RAM, 4x 6TB HDD",HP,3.4,DL320e,"Intel Xeon E3-1240 v2 @ 3.4GHz 4 Cores/ 8 Threads, 3.8GHz Boost",32,6000,,n,,0,,
1701,Cisco IR829-GW Industrial Integrated Services Router | 2x  ANT-4G-DP-IN-TNC,,0,Cisco IR829-GW,,0,0,,n,,0,,
1702,Cisco IR829-GW Industrial Integrated Services Router | 2x  4G-LTE-ANTM-D,Cisco,0,Cisco IR829-GW,,0,0,,n,,0,,
1703,Cisco ASR-920-24SZ-M | Aggregation Servies Router | 24x 1Gbps 4x SFP+ 10Gbps,Cisco,0,ASR-920-24SZ-M,,0,0,,n,,0,,
1704,Cisco ASR-920-24SZ-M Aggregation Servies Router 24x 1Gbps 4x SFP+ 10Gbps,Cisco,0,ASR-920-24SZ-M,,0,0,,n,,0,,
1706,Cisco Catalyst IP Services Switch | WS-C3750X-24S-E | 24x Gbe SFP | 350W,Cisco,0,WS-C3750X-24S-E,,0,0,,n,,0,,
1707,Apple Mac mini 2018 | Intel i3-8100 3.6GHz | 8GB RAM | 128GB SSD,Apple,3.6,A1993,Intel i3-8100 3.6GHz Quad Core (8th Gen),8,128,,n,,0,,
1708,"Dell 27"" QHD Screen USB-C Hub IPS LCD Monitor | P2723DE | 90W Power Delivery | 2560 x 1440 60Hz",Dell,0,P2723DE,,0,0,,n,,0,,
1709,Dell Latitude 7410 2-In-1 Touch Laptop | i7 10610U 16GB RAM 256GB SSD | W11 Pro,Dell,1.8,Latitude 7410 2-in-1,Intel i7-10610U 4C/8T 1.8GHz to 4.9GHz,16,256,Black,y,1920 x 1080,14,,
1710,"Lenovo ThinkCentre M720s SFF PC i7 8700 16GB RAM 512GB SSD, 6Tb HDD W11 USB WIFI",Lenovo,3.2,M720s,"Intel i7 8700 3.2GHz 6 Cores/ 12 Threads, 4.6GHz Boost",16,512,,n,,0,,
1711,Dell Latitude 7200 2-in-1 | i7 8665U | 16GB RAM | 256GB SSD | Windows 11 Pro | B Grade,Dell,1.8,Latitude 7200 2-in-1,Intel i7 8665U 4 Core 8 Thread 1.9GHz to 4.8GHz,16,256,Silver,y,1920 x 1280,12,,
1712,Lenovo ThinkPad X1 Carbon  | i7 8650U 16GB RAM 256GB SSD | Windows 11 Pro,Lenovo,1.9,ThinkPad X1 Carbon 6th Generation,Intel i7-8650U 1.9-4.2GHz Quad Core (8th Gen),16,256,Black,n,1920 x 1080,14,,
1713,Cisco Catalyst WS-C3560X-48PF-L | 2x1100W PSU | C3KX-NM-10G | PoE+ | 48 x 1Gbps,Cisco,0,WS-C3560X-48PF-L,,0,0,,n,,0,,
1714,Microsoft Surface Pro 7 | Intel i5-1035G4 1.1GHz | Win 11 | 8GB RAM | 256GB SSD Silver,Microsoft,1.1,Surface Pro 7,Intel i5-1035G4 1.1GHz Quad Core (10th Gen),8,256,Silver,y,2736 x 1824,0,,
1715,Express Delivery/Postage,,0,,,0,0,,n,,0,,
1719,Microsoft Surface Pro 7+ | Intel i7-1165G7 2.8GHz | Win 11 | 16GB RAM | 512GB SSD | New in Box,Microsoft,2.8,Surface Pro 7+,Intel i7-1165G7 2.8GHz Quad Core (11th Gen),16,512,Silver,y,2736 x 1824,0,,
1720,Microsoft Surface Laptop 3 | Intel i5-1035G7 1.2GHz | Win 11 | 16GB RAM | 256GB SSD - B Grade,Microsoft,1.2,Microsoft Surface Laptop 3,Intel i5-1035G7U Quad Core 1.2GHz (10th Gen),8,128,Silver,y,2256 x 1504,13,,
1721,Cisco ASR-903 V01 with modules,Cisco,0,,,0,0,,n,,0,,
1722,HP EliteDesk 800 G5 Mini PC Intel i5 9500 16GB RAM 256GB M.2 SSD & 1TB HDD WiFi,HP,3,800 G5 Mini,"Intel i5-9500 3.0GHz CPU 6 Cores/ 6 Threads, 4.4GHz Boost",16,256,,n,,0,,
1725,Dell U2520D UltraSharp LCD Screen 25 inch USB-C Monitor | QHD 1440p | IPS | USB C Power Delivery 90W,Dell,0,U2520D,,0,0,,n,,0,,
1726,"Dell OptiPlex AIO 7410 65w i5 13500 14C, 8GB RAM, 256GB SSD, BT WiFi, W11",Dell,2.5,OptiPlex AIO 7410,"Intel i5 13500 2.5GHz 6P Cores/ 8E Cores, 4.8GHz Boost",8,256,,n,,23,,
1727,Cisco Catalyst Switch WS-C3750X-48PF-S | 2x350W PSU | C3KX-NM-10G | PoE+ | 48 x 1Gbps,Cisco,0,Catalyst WS-C3750X-48PF-S ,,0,0,,n,,0,,
1728,Cisco Catalyst Switch WS-C2960s-48FPS-L V02 | 48 Port Gigabit | POE ,Cisco,0,WS-C2960s-48FPS-L V02,,0,0,,n,,0,,
1729,Cisco Catalyst Switch WS-C3560X-24T-S V02-L | PoE+ | 24 x 1Gbps | Rackmount,Cisco,0,WS-C3560X-24T-S-V02,,0,0,,n,,0,,
1730,Cisco Nexus N3K-C3048TP-1GE | 48 Port 1Gb | Dual 400W PSU | 4 x 1/10 Gbps SFP+ | Rackmount ,Cisco,0,N3K-C3048TP-1GE,,0,0,,n,,0,,
1731,Cisco Firepower FPR-2130 V02 | Firewall Security Appliance | 4 x 10 Gigabit SFP+ | Dual 400W PSU | 200GB SSD FPR2K-SSD200,Cisco,0,FPR-2130 V02,,0,0,,n,,0,,
1732,CISCO C897VAG-LTE-LA-K9 V01 | 4G LTE Integrated Services Router | Gigabit Ethernet | 4x POE Ports | VDSL/ADSL2+  Router Only | No Power Supply,Cisco,0,C897VAG-LTE-LA-K9 V01,,0,0,,n,,0,,
1735,"Dell Precision 3420 Intel Xeon E3-1240v5 32GB RAM 256GB M.2 SSD, 3TB HDD WiFi Win 10",,3.5,Precision 3420,"Intel Xeon E3 - 1240 v5 @ 3.5GHz(3.9GHz Boost), 4 Cores/ 8 Threads",32,256,,n,,0,NVIDIA®  NVS™  510,
1736,"Dell Precision 3430 Intel i5 8500 32GB RAM 512GB M.2 SSD, 4TB HDD WiFi Win 11",Dell,3.4,3430,"Intel i5 8500 @ 3.4GHz, 6 Cores/ 6 Threads, 4GHz Boost",32,512,,n,,0,Nvidia Quadro K1200,
1737,"Dell Precision 3430 Intel i7 8700 16GB RAM 512GB M.2 SSD, 4TB HDD WiFi BT W11",Dell,3.2,3430,"Intel i7 8700 @ 3.2GHz, 6 Cores/ 12 Threads, 4.6GHz Boost",16,512,,n,,0,AMD FirePro W4100,
1738,Cisco Adaptive Security Appliance ASA 5585-X W/ Firepower SSP-40 Firewall Rack-Mountable,Cisco,0,5585-X W,,0,0,,n,,0,,
1739,Cisco Adaptive Security Appliance ASA 5585-X W/ Firepower SSP-60 Firewall Rack-Mountable NO POWER CABLE,Cisco,0,5585-X,,0,0,,n,,0,,
1740,"Cisco ASR-1004 V03 Aggregation Services Router W/ ASR1000-6TGE, ASR1000-ESP40 , ASR1000-RP2 & SPA-1X10GE-L-V2",Cisco,0, ASR-1004 V03,,0,0,,n,,0,,
1741,Cisco ASR1002-X Aggregation Services Router,Cisco,0,ASR1002-X,,0,0,,n,,0,,
1742,Cisco EHWIC-4G-LTE-AU Enhanced High-Speed WAN Interface Card,,0,,,0,0,,n,,0,,
1743,"UBIQUITI UniFi US-24-500W, 24 Port Switch, 1G SFP, PoE+",UBIQUITI,0,UniFi US-24-500W,,0,0,,n,,0,,
1744,"Jupiter EX4550, 128 Gbps Virtual Chassis module for switch , EX4550-VC1-128G  New In Box",Juniper,0,EX4550-VC1-128G,,0,0,,n,,0,,
1745,"Cisco C3KX-NM-10G Catalyst 3K-X 10G Network Switch Expansion Module, 2x 10GbE SFP+, 2x 1GbE SFP",Cisco,0,C3KX-NM-10G,,0,0,,n,,0,,
1747,Thuraya Satellite SatSleeve+ Universal Smartphone Adapter,Thuraya,0,SatSleeve+,,0,0,,n,,0,,
1748,Thuraya Satellite SatSleeve+ Universal Smartphone Adapter *Handset + Adapter Only*,Thuraya,0,SatSleeve+,,0,0,,n,,0,,
1749,Brother Professional Label Printer QL-1110NWB | Network | Bluetooth | WiFi,Star Micronics,0,QL-1110NWB,,0,0,,n,,0,,
1751,HP 12GB DL380 Gen9 SAS Expander Card AEC-83605 9x PCI Express ports,HP,0,AEC-83605,,0,0,,n,,0,,
1752,Cisco PWR-C2-1025WAC Power Supply Module 1025 Watt USED,Cisco,0,PWR-C2-1025WAC,,0,0,,n,,0,,
1753,Cisco 4G LTE 2.0 Enhanced High-Speed WAN Interface Card - EHWIC-4G-LTE-AU V01 W/ Antenna & Extender,Cisco,0,EHWIC-4G-LTE-AU V01,,0,0,,n,,0,,
1754,Cisco 4G LTE 2.0 Enhanced High-Speed WAN Interface Card - EHWIC-4G-LTE-AU V01 W/ Antenna & Extender,Cisco,0,EHWIC-4G-LTE-AU V01,,0,0,,n,,0,,
1755,SANYO POA-LMP104 Replacement Projector Bulb | 2000 Hours | 330W | Brand New In Box,Sanyo,0,POA-LMP104,,0,0,,n,,0,,
1757,DELL 0N8279 Projector Lamp Module Replacement | 2000 Hours | 300W | Brand New In Box,Dell,0,0N8279,,0,0,,n,,0,,
1758,DELL 0CF900 Projector Lamp Module Replacement | 2000 Hours | 260W | Brand New In Box,Dell,0,0CF900,,0,0,,n,,0,,
1759,Epson ELPLP71 Projector Lamp Bulb Replacement | 3000 Hours | 190W | Brand New In Box,Epson,0,ELPLP71,,0,0,,n,,0,,
1760,Epson ELPLP80 Projector Lamp Module Replacement | 4000 Hours | 245W | Brand New In Box,Epson,0,ELPLP80,,0,0,,n,,0,,
1762,Cisco NXA-FAN-35CFM-PI V01 Port-side Intake Fan module | Burgundy | 35CFM | Brand New In Box,Cisco,0,NXA-FAN-35CFM-PI,,0,0,,n,,0,,
1763,NEC NP06LP+ Projector Lamp Module  | 2000 Hours | 300W | Brand New In Box,NEC,0, NP06LP+,,0,0,,n,,0,,
1764,Hitachi DT01251 Projector Lamp Module | 3000 hours | 210W | Brand New in Box,Hitachi,0,DT01251,,0,0,,n,,0,,
1765,"Wacom STU-430 4.5"" LCD Signature Pad W/ Stylus & Cable ",Wacom,0,STU-430,,0,0,,n,,0,,
1766,HP LTO-5 Ultrium RW Data Cartridge 3TB | 5 pack | C7975A | Brand New In Box,HP,0,C7975A,,0,0,,n,,0,,
1767,Cisco ASR1002-x Aggregation Services Router | SPA-1X10GE-L-V2,Cisco,0,ASR1002-X,,0,0,,n,,0,,
1768,Cisco ASR1002 V5 Aggregation Services Router | ASR1000-ESP10,Cisco,0,ASR1002 V5,,0,0,,n,,0,,
1769,Cisco ASR1002 V5 Aggregation Services Router | ASR1000-ESP10 | SPA-1X10GE-WL-V2 | XFP-10G-MM-SR,Cisco,0,ASR1002 V5,,0,0,,n,,0,,
1770,Cisco ASR1006 V02 Aggregation Services Router | 4x SPA-1X10GE-L-V2 | 2x SPA-5X1GE-v2 | SPA-1X10GE-WL-V2 | SPA-2X1GE -V2 | 2x ASR1000-RP1,Cisco,0,ASR1006 V02,,0,0,,n,,0,,
1771,Cisco ASR1006 V02 Aggregation Services Router | SPA-5X1GE-V2 | 2x SPA-1X10GE-L-V2 | 2x ASR1000-RP1,Cisco,0,ASR1006 V02,,0,0,,n,,0,,
1772,Cisco ASR1006 V02 Aggregation Services Router | 2x SPA-8X1GE-V2 | 2x  ASR1000-6TGE | 2x  ASR1000-RP2,Cisco,0,ASR1006 V02,,0,0,,n,,0,,
1774,"Epson EB-935W Portable Multimedia Projector 1062/3000  Lamp Hours | 3700 Lumens | WXGA | HDMI | 29"" to 280"" Screen Size",Epson,0,EB-935W,,0,0,,n,,0,,
1775,"Dell 7609WU Conference Room Projector | 2000 Lamp Hours | 3850 ANSI Lumens | 1920 x 1200 WUXGA | HDMII, Display port | 50"" to 300""  Screen Size",Dell,0,7609WU,,0,0,,n,,0,,
1776,"Dell 7609WU Conference Room Projector | 1800/2000 Lamp Hours | 3850 ANSI Lumens | 1920 x 1200 WUXGA | HDMII, Display port | 50"" to 300""  Screen Size",Dell,0,7609WU,,0,0,,n,,0,,
1777,Cisco Catalyst IP Services Switch | WS-C3750X-24S-E V05 | 24x Gbe SFP | 350W,Cisco,0,WS-C3750X-24S-E V05,,0,0,,n,,0,,
1778,Cisco Catalyst 9300L Network Advantage 24 Port POE+ GE Switch | C9300L-24P-4G-A | B GRADE,Cisco,0,C9300L-24P-4G-A,,0,0,,n,,0,,
